id,lat,lon,location,date,severity,borough,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,cloud_cover,wind_speed_10m
131894,51.488749,-0.165406,King's Road 26 metres north east of junction with Jubilee Place,2010-06-23 11:10:00+00:00,Fatal,Kensington and Chelsea,22.771501541137695,49.38232421875,0.0,0.0,0.0,81.0,7.412853240966797
126772,51.446035,0.0309,Sidcup Road 95 metres north of junction with Mottingham Lane,2010-04-17 22:00:00+00:00,Fatal,Greenwich,5.81850004196167,85.16588592529297,0.0,0.0,0.0,0.0,8.287821769714355
126775,51.480842,-0.021993,Creek Road 50 metres east of junction with Deptford Church Street,2010-05-25 17:47:00+00:00,Fatal,Greenwich,15.084500312805176,58.41333770751953,0.0,0.0,0.0,17.700000762939453,19.130874633789062
126786,51.477258,0.01947,Charlton Road junction with Old Dover Road,2010-09-23 12:35:00+00:00,Fatal,Greenwich,16.8070011138916,83.29242706298828,0.699999988079071,0.699999988079071,0.0,79.19999694824219,14.88241958618164
126796,51.443323,0.052366,Court Road 80 metres north junction with Tarnwood Park,2010-01-16 07:05:00+00:00,Fatal,Greenwich,3.92549991607666,90.58466339111328,0.20000000298023224,0.20000000298023224,0.0,100.0,26.56204605102539
126803,51.441424,0.073433,Tiverton Drive 59 metres north east of junction with Alverstone Gardens,2010-03-21 14:43:00+00:00,Fatal,Greenwich,12.072999954223633,55.47137451171875,0.0,0.0,0.0,100.0,11.770402908325195
131905,51.480158,-0.179576,Cremorne Road 35 metres east of junction with Edith Grove,2010-12-28 12:03:00+00:00,Fatal,Kensington and Chelsea,5.821499824523926,97.94396209716797,0.0,0.0,0.0,100.0,9.726664543151855
131914,51.529462,-0.222303,Harrow Road 98 metres south east of junction with Wakeman Road,2010-10-11 00:55:00+00:00,Fatal,Kensington and Chelsea,10.439499855041504,94.79023742675781,0.0,0.0,0.0,0.0,17.33989715576172
129657,51.480387,-0.108855,Camberwell New Road 28 metres north west of junction with Foxley Road,2010-10-07 17:29:00+00:00,Fatal,Lambeth,15.303999900817871,82.02940368652344,0.0,0.0,0.0,66.30000305175781,15.542661666870117
129688,51.444643,-0.139833,Cambray Road 134 metres east of junction with Haverhill Road,2010-03-28 13:52:00+00:00,Fatal,Lambeth,11.753499984741211,58.600341796875,0.0,0.0,0.0,100.0,19.3865909576416
