id,lat,lon,location,date,severity,borough,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,cloud_cover,et0_fao_evapotranspiration
121516,51.513694,-0.156189,Portman Street junction with Oxford Street,2010-01-27 01:15:00+00:00,Serious,City of Westminster,-3.2910001277923584,89.69845581054688,0.0,0.0,0.0,37.20000076293945,0.0
121517,51.522079,-0.15758,Marylebone Road junction with Baker Street,2010-01-27 00:15:00+00:00,Slight,City of Westminster,-2.815000057220459,89.40065002441406,0.0,0.0,0.0,26.100000381469727,0.0
121518,51.496713,-0.1514,Belgrave Place junction with Eaton Square,2010-01-26 18:28:00+00:00,Serious,City of Westminster,-0.6784999966621399,79.23592376708984,0.0,0.0,0.0,6.300000190734863,0.007017660420387983
121519,51.534302,-0.174389,Wellington Road junction with Grove End Road,2010-01-27 00:08:00+00:00,Slight,City of Westminster,-2.9514999389648438,89.38922119140625,0.0,0.0,0.0,26.100000381469727,0.0
121520,51.494771,-0.125403,Millbank junction with Horseferry Road,2010-01-06 08:35:00+00:00,Slight,City of Westminster,0.01499999687075615,92.97779846191406,0.10000000149011612,0.0,0.07000000029802322,95.0999984741211,0.0
121521,51.488982,-0.140189,St George's Drive junction with Charlwood Street,2010-01-22 13:57:00+00:00,Slight,City of Westminster,7.427999973297119,94.99319458007812,0.20000000298023224,0.20000000298023224,0.0,100.0,0.024602189660072327
121522,51.511576,-0.119093,Aldwych junction with Strand,2010-01-23 18:10:00+00:00,Slight,City of Westminster,4.723999977111816,91.92993927001953,0.0,0.0,0.0,100.0,0.0
121523,51.513253,-0.134012,Wardour Street 45 metres north junction with Peter Street,2010-01-19 08:10:00+00:00,Slight,City of Westminster,3.747999906539917,98.94992065429688,0.0,0.0,0.0,100.0,0.0
121524,51.532044,-0.202883,Fernhead Road junction with Saltram Crescent,2010-01-28 17:25:00+00:00,Slight,City of Westminster,4.415500164031982,76.89273834228516,0.0,0.0,0.0,83.0999984741211,0.029647504910826683
121525,51.513477,-0.176807,Westbourne Crescent junction with Sussex Gardens,2010-01-28 14:22:00+00:00,Slight,City of Westminster,6.004500389099121,66.3568115234375,0.0,0.0,0.0,93.0,0.09167508035898209
